Country name,year,Happiness score,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Portugal,2019,6.095,10.457,0.8759999999999999,72.6,0.882,-0.23399999999999999,0.915
Portugal,2020,5.768,10.370999999999999,0.875,72.8,0.9129999999999999,-0.23800000000000002,0.867
Romania,2019,6.13,10.306,0.8420000000000001,67.5,0.848,-0.221,0.9540000000000001
Russia,2019,5.441,10.205,0.91,64.7,0.715,-0.11599999999999999,0.848
Russia,2020,5.495,10.162,0.887,65.1,0.7140000000000001,-0.071,0.823
Rwanda,2019,3.2680000000000002,7.707999999999999,0.489,61.7,0.8690000000000001,0.064,0.168
Saudi Arabia,2019,6.561,10.757,0.912,66.6,0.8909999999999999,-0.147,0.168
Saudi Arabia,2020,6.56,10.700999999999999,0.89,66.9,0.884,-0.111,0.168
Senegal,2019,5.489,8.13,0.688,60.0,0.759,-0.019,0.7959999999999999
Serbia,2019,6.2410000000000005,9.808,0.903,68.6,0.753,-0.04,0.813
Serbia,2020,6.042000000000001,9.788,0.852,69.0,0.843,0.149,0.8240000000000001
Sierra Leone,2019,3.447,7.449,0.611,52.4,0.718,0.07400000000000001,0.8740000000000001
Singapore,2019,6.377999999999999,11.485999999999999,0.925,77.1,0.938,0.027000000000000003,0.07
Slovakia,2019,6.242999999999999,10.398,0.9329999999999999,69.2,0.7709999999999999,-0.129,0.9259999999999999
Slovakia,2020,6.519,10.332,0.9540000000000001,69.5,0.762,-0.075,0.9009999999999999
Slovenia,2019,6.665,10.562999999999999,0.9490000000000001,71.4,0.945,-0.102,0.785
Slovenia,2020,6.462000000000001,10.478,0.953,71.7,0.958,-0.081,0.797
South Africa,2019,5.035,9.432,0.848,56.9,0.738,-0.134,0.82
South Africa,2020,4.947,9.332,0.8909999999999999,57.3,0.757,-0.015,0.912
South Korea,2019,5.903,10.661,0.7829999999999999,73.9,0.706,-0.055,0.718
South Korea,2020,5.792999999999999,10.648,0.8079999999999999,74.2,0.711,-0.106,0.665
Spain,2019,6.457000000000001,10.618,0.9490000000000001,74.7,0.778,-0.049,0.73
Spain,2020,6.502000000000001,10.488,0.935,75.0,0.7829999999999999,-0.121,0.73
Sri Lanka,2019,4.213,9.479,0.815,67.4,0.8240000000000001,0.051,0.863
Swaziland,2019,4.396,9.07,0.759,51.27,0.597,-0.191,0.7240000000000001
